num,tempo_funcao,tempo_usuario,tempo_sistema
426,2.1e-06,0.015179,0.000629
427,2.1e-06,0.015179,0.000643
428,2.5e-06,0.015179,0.000661
429,2.1e-06,0.015179,0.000675
430,2.1e-06,0.015179,0.00069
431,2.1e-06,0.015179,0.000704
432,2.1e-06,0.015179,0.000719
433,2.1e-06,0.015179,0.000735
434,2.1e-06,0.015179,0.00075
435,2e-06,0.015179,0.000764
436,2.1e-06,0.015179,0.000779
437,2.2e-06,0.015179,0.000797
438,2.1e-06,0.015179,0.000811
439,2.2e-06,0.015179,0.000826
440,2e-06,0.015179,0.000841
441,2.1e-06,0.015179,0.000859
442,2.1e-06,0.015179,0.000879
443,2.1e-06,0.015179,0.000894
444,2.1e-06,0.015179,0.000908
445,2.2e-06,0.015179,0.000923
446,2.1e-06,0.015179,0.000938
447,2.2e-06,0.015179,0.000955
448,2.1e-06,0.015179,0.00097
449,2.2e-06,0.015179,0.000985
450,2.1e-06,0.015179,0.000999
451,2.2e-06,0.015179,0.001018
452,2.2e-06,0.015179,0.001033
453,2.1e-06,0.015179,0.001047
454,2.3e-06,0.015179,0.001064
455,2.3e-06,0.015179,0.001079
456,2.1e-06,0.015179,0.001094
457,2.2e-06,0.015179,0.001109
458,2.2e-06,0.015179,0.001127
459,2.3e-06,0.015179,0.001141
460,2.2e-06,0.015179,0.001156
461,2.3e-06,0.015179,0.001171
462,2.7e-06,0.015179,0.001189
463,2.1e-06,0.015179,0.001204
464,2.3e-06,0.015179,0.001219
465,2.2e-06,0.015179,0.001234
466,2.3e-06,0.015179,0.001252
467,2.3e-06,0.015179,0.001267
468,2.2e-06,0.015179,0.001281
469,2.2e-06,0.015179,0.001298
470,2.3e-06,0.015179,0.001314
471,2.2e-06,0.015179,0.001329
472,2.3e-06,0.015179,0.001344
473,2.4e-06,0.015179,0.001395
474,2.3e-06,0.015179,0.001414
475,2.3e-06,0.015179,0.001431
476,2.3e-06,0.015179,0.001446
477,2.3e-06,0.015179,0.001464
478,2.2e-06,0.015179,0.001478
479,2.2e-06,0.015179,0.001493
480,2.3e-06,0.015179,0.001508
481,2.3e-06,0.015179,0.001526
482,2.2e-06,0.015179,0.001541
483,2.2e-06,0.015179,0.001556
484,2.3e-06,0.015179,0.001571
485,2.4e-06,0.015179,0.001589
486,2.3e-06,0.015179,0.001605
487,2.3e-06,0.015179,0.00162
488,2.4e-06,0.015179,0.001635
489,2.3e-06,0.015179,0.001652
490,2.3e-06,0.015179,0.001667
491,2.3e-06,0.015179,0.001682
492,2.3e-06,0.015179,0.001698
493,2.3e-06,0.015179,0.001716
494,2.4e-06,0.015179,0.001731
495,2.3e-06,0.015179,0.001746
