n,tempo_de_execucao
35510,0.003498 segundos
35610,0.00336 segundos
35710,0.003168 segundos
35810,0.003316 segundos
35910,0.003164 segundos
36010,0.003137 segundos
36110,0.00314 segundos
36210,0.003497 segundos
36310,0.003769 segundos
36410,0.003384 segundos
36510,0.003312 segundos
36610,0.003178 segundos
36710,0.003646 segundos
36810,0.003269 segundos
36910,0.003265 segundos
37010,0.003309 segundos
37110,0.003238 segundos
37210,0.0037 segundos
37310,0.003291 segundos
37410,0.003337 segundos
37510,0.003412 segundos
37610,0.003586 segundos
37710,0.003582 segundos
37810,0.003366 segundos
37910,0.003825 segundos
38010,0.003673 segundos
38110,0.003437 segundos
38210,0.003934 segundos
38310,0.00313 segundos
38410,0.00449 segundos
38510,0.003356 segundos
38610,0.003179 segundos
38710,0.003236 segundos
38810,0.003122 segundos
38910,0.003882 segundos
39010,0.003171 segundos
39110,0.003335 segundos
39210,0.003201 segundos
39310,0.003714 segundos
39410,0.003365 segundos
39510,0.003335 segundos
39610,0.003165 segundos
39710,0.003594 segundos
39810,0.003761 segundos
39910,0.003299 segundos
40010,0.003422 segundos
40110,0.003241 segundos
40210,0.003288 segundos
40310,0.003275 segundos
40410,0.003356 segundos
40510,0.003572 segundos
40610,0.003363 segundos
40710,0.00414 segundos
40810,0.003545 segundos
40910,0.004088 segundos
41010,0.00344 segundos
41110,0.003575 segundos
41210,0.003515 segundos
41310,0.003432 segundos
41410,0.003544 segundos
41510,0.003471 segundos
41610,0.003791 segundos
41710,0.00353 segundos
41810,0.003446 segundos
41910,0.003444 segundos
42010,0.003367 segundos
42110,0.003456 segundos
42210,0.003447 segundos
42310,0.003777 segundos
42410,0.003447 segundos
42510,0.003499 segundos
42610,0.003446 segundos
42710,0.003608 segundos
42810,0.003761 segundos
42910,0.003505 segundos
43010,0.003657 segundos
43110,0.00341 segundos
43210,0.003655 segundos
43310,0.003598 segundos
43410,0.0037 segundos
43510,0.003492 segundos
43610,0.003619 segundos
43710,0.003523 segundos
43810,0.003664 segundos
43910,0.003669 segundos
44010,0.003628 segundos
44110,0.003745 segundos
44210,0.003765 segundos
44310,0.003672 segundos
44410,0.003609 segundos
44510,0.003676 segundos
44610,0.00363 segundos
44710,0.003709 segundos
44810,0.003614 segundos
44910,0.003615 segundos
45010,0.003615 segundos
45110,0.003666 segundos
45210,0.003695 segundos
45310,0.003636 segundos
45410,0.003656 segundos
45510,0.003641 segundos
45610,0.003644 segundos
45710,0.003758 segundos
45810,0.004697 segundos
45910,0.004167 segundos
46010,0.003837 segundos
46110,0.003903 segundos
46210,0.003803 segundos
46310,0.003844 segundos
46410,0.003745 segundos
46510,0.003454 segundos
46610,0.003595 segundos
46710,0.003437 segundos
46810,0.003502 segundos
46910,0.003479 segundos
47010,0.003479 segundos
47110,0.003567 segundos
47210,0.003624 segundos
47310,0.003589 segundos
47410,0.003868 segundos
47510,0.00367 segundos
47610,0.004184 segundos
47710,0.003578 segundos
47810,0.003645 segundos
47910,0.003572 segundos
48010,0.003584 segundos
48110,0.004037 segundos
48210,0.003543 segundos
48310,0.003884 segundos
48410,0.003692 segundos
48510,0.003655 segundos
48610,0.003675 segundos
48710,0.003735 segundos
48810,0.003658 segundos
48910,0.003688 segundos
49010,0.00373 segundos
49110,0.003794 segundos
49210,0.003689 segundos
49310,0.003674 segundos
49410,0.003608 segundos
49510,0.003825 segundos
49610,0.003727 segundos
49710,0.003713 segundos
49810,0.003762 segundos
49910,0.003701 segundos
50010,0.003749 segundos
50110,0.003849 segundos
50210,0.003759 segundos
50310,0.003738 segundos
50410,0.004506 segundos
50510,0.003764 segundos
50610,0.003881 segundos
50710,0.003811 segundos
50810,0.00399 segundos
50910,0.00411 segundos
51010,0.003857 segundos
51110,0.00381 segundos
51210,0.003733 segundos
51310,0.003865 segundos
51410,0.00385 segundos
51510,0.003917 segundos
51610,0.003949 segundos
51710,0.004025 segundos
51810,0.003888 segundos
51910,0.004009 segundos
52010,0.003881 segundos
52110,0.004154 segundos
52210,0.003924 segundos
52310,0.003968 segundos
52410,0.003824 segundos
52510,0.003816 segundos
52610,0.00399 segundos
52710,0.003999 segundos
52810,0.003951 segundos
52910,0.004095 segundos
53010,0.00405 segundos
53110,0.003967 segundos
53210,0.004211 segundos
53310,0.003906 segundos
53410,0.004125 segundos
53510,0.003958 segundos
53610,0.003939 segundos
53710,0.004364 segundos
53810,0.004128 segundos
53910,0.004139 segundos
54010,0.004097 segundos
54110,0.005399 segundos
54210,0.004116 segundos
54310,0.003966 segundos
54410,0.004004 segundos
54510,0.004212 segundos
54610,0.004067 segundos
54710,0.00412 segundos
54810,0.00471 segundos
54910,0.004278 segundos
55010,0.003793 segundos
55110,0.00371 segundos
55210,0.003765 segundos
55310,0.003774 segundos
55410,0.003871 segundos
55510,0.003832 segundos
55610,0.003844 segundos
55710,0.003899 segundos
55810,0.003859 segundos
55910,0.003906 segundos
56010,0.003853 segundos
56110,0.004101 segundos
56210,0.003827 segundos
56310,0.003973 segundos
56410,0.004033 segundos
56510,0.003903 segundos
56610,0.00427 segundos
56710,0.003997 segundos
56810,0.003918 segundos
56910,0.004082 segundos
57010,0.00403 segundos
57110,0.004078 segundos
57210,0.004045 segundos
57310,0.003939 segundos
57410,0.003985 segundos
57510,0.004102 segundos
57610,0.003998 segundos
57710,0.004157 segundos
57810,0.004064 segundos
57910,0.004139 segundos
58010,0.004052 segundos
58110,0.004044 segundos
58210,0.004035 segundos
58310,0.004042 segundos
58410,0.004138 segundos
58510,0.004071 segundos
58610,0.004482 segundos
58710,0.004287 segundos
58810,0.004214 segundos
58910,0.004003 segundos
59010,0.004299 segundos
59110,0.004203 segundos
59210,0.004231 segundos
59310,0.004039 segundos
59410,0.004605 segundos
59510,0.004164 segundos
59610,0.004696 segundos
59710,0.004566 segundos
59810,0.004185 segundos
59910,0.004094 segundos
60010,0.004114 segundos
60110,0.004059 segundos
60210,0.004099 segundos
60310,0.004089 segundos
60410,0.004184 segundos
60510,0.004167 segundos
60610,0.004139 segundos
60710,0.004186 segundos
60810,0.004192 segundos
60910,0.004176 segundos
61010,0.004205 segundos
61110,0.004187 segundos
61210,0.004259 segundos
61310,0.00409 segundos
61410,0.004311 segundos
61510,0.004299 segundos
61610,0.004258 segundos
61710,0.004258 segundos
61810,0.004239 segundos
61910,0.004286 segundos
62010,0.004255 segundos
62110,0.00432 segundos
62210,0.004364 segundos
62310,0.004336 segundos
62410,0.004303 segundos
62510,0.004339 segundos
62610,0.004253 segundos
62710,0.004394 segundos
62810,0.004292 segundos
62910,0.004345 segundos
63010,0.004406 segundos
63110,0.004401 segundos
63210,0.004379 segundos
63310,0.004388 segundos
63410,0.004431 segundos
63510,0.004358 segundos
63610,0.004427 segundos
63710,0.004042 segundos
63810,0.004071 segundos
63910,0.004079 segundos
64010,0.004006 segundos
64110,0.004043 segundos
64210,0.00409 segundos
64310,0.004078 segundos
64410,0.004237 segundos
64510,0.004044 segundos
64610,0.004107 segundos
64710,0.004113 segundos
64810,0.004262 segundos
64910,0.004188 segundos
65010,0.004241 segundos
65110,0.004119 segundos
65210,0.004253 segundos
65310,0.004656 segundos
65410,0.004354 segundos
65510,0.004199 segundos
65610,0.004166 segundos
65710,0.004108 segundos
65810,0.004117 segundos
65910,0.0042 segundos
66010,0.004097 segundos
66110,0.00421 segundos
66210,0.004266 segundos
66310,0.004277 segundos
66410,0.004248 segundos
66510,0.004362 segundos
66610,0.004446 segundos
66710,0.004288 segundos
66810,0.004219 segundos
66910,0.00431 segundos
67010,0.004263 segundos
67110,0.004277 segundos
67210,0.004289 segundos
67310,0.004277 segundos
67410,0.004261 segundos
67510,0.004283 segundos
67610,0.004354 segundos
67710,0.004349 segundos
67810,0.004307 segundos
67910,0.004328 segundos
68010,0.004358 segundos
68110,0.004337 segundos
68210,0.00464 segundos
68310,0.004541 segundos
68410,0.004497 segundos
68510,0.004577 segundos
68610,0.004594 segundos
68710,0.004481 segundos
68810,0.004591 segundos
68910,0.004527 segundos
69010,0.004422 segundos
69110,0.00442 segundos
69210,0.004383 segundos
69310,0.004374 segundos
69410,0.00439 segundos
69510,0.004493 segundos
69610,0.004687 segundos
69710,0.004505 segundos
69810,0.004439 segundos
69910,0.004471 segundos
70010,0.004428 segundos
70110,0.004526 segundos
70210,0.004491 segundos
70310,0.004502 segundos
70410,0.004635 segundos
70510,0.004541 segundos
70610,0.00453 segundos
70710,0.004665 segundos
70810,0.004523 segundos
70910,0.004958 segundos
71010,0.004543 segundos
71110,0.004649 segundos
71210,0.004777 segundos
71310,0.004535 segundos
71410,0.004677 segundos
71510,0.00468 segundos
71610,0.004662 segundos
71710,0.004702 segundos
71810,0.004681 segundos
71910,0.004644 segundos
72010,0.00461 segundos
72110,0.004607 segundos
72210,0.004727 segundos
72310,0.004431 segundos
72410,0.004485 segundos
72510,0.004432 segundos
72610,0.00429 segundos
72710,0.004446 segundos
72810,0.004397 segundos
