n,tempo_de_execucao
76510,0.000536 segundos
76610,0.00052 segundos
76710,0.000524 segundos
76810,0.000525 segundos
76910,0.000521 segundos
77010,0.000576 segundos
77110,0.000541 segundos
77210,0.000523 segundos
77310,0.000524 segundos
77410,0.000539 segundos
77510,0.000544 segundos
77610,0.000573 segundos
77710,0.000542 segundos
77810,0.000597 segundos
77910,0.000568 segundos
78010,0.000541 segundos
78110,0.000529 segundos
78210,0.000532 segundos
78310,0.000577 segundos
78410,0.000583 segundos
78510,0.000532 segundos
78610,0.000533 segundos
78710,0.000549 segundos
78810,0.000553 segundos
78910,0.000534 segundos
79010,0.000549 segundos
79110,0.000548 segundos
79210,0.000544 segundos
79310,0.000538 segundos
79410,0.000541 segundos
79510,0.000547 segundos
79610,0.000539 segundos
79710,0.000545 segundos
79810,0.000557 segundos
79910,0.000554 segundos
80010,0.000553 segundos
80110,0.000569 segundos
80210,0.000561 segundos
80310,0.000545 segundos
80410,0.00059 segundos
80510,0.000559 segundos
80610,0.000564 segundos
80710,0.000548 segundos
80810,0.000566 segundos
80910,0.000563 segundos
81010,0.000561 segundos
81110,0.000553 segundos
81210,0.000551 segundos
81310,0.000554 segundos
81410,0.000606 segundos
81510,0.000558 segundos
81610,0.00057 segundos
81710,0.000553 segundos
81810,0.000554 segundos
81910,0.000636 segundos
82010,0.000569 segundos
82110,0.000573 segundos
82210,0.000623 segundos
82310,0.000561 segundos
82410,0.000616 segundos
82510,0.000559 segundos
82610,0.00057 segundos
82710,0.000615 segundos
82810,0.000586 segundos
82910,0.000584 segundos
83010,0.000562 segundos
83110,0.000601 segundos
83210,0.000583 segundos
83310,0.000566 segundos
83410,0.000564 segundos
83510,0.000565 segundos
83610,0.000568 segundos
83710,0.000585 segundos
83810,0.000571 segundos
83910,0.000584 segundos
84010,0.000571 segundos
84110,0.000601 segundos
84210,0.000583 segundos
84310,0.000571 segundos
84410,0.000589 segundos
84510,0.000572 segundos
84610,0.000574 segundos
84710,0.000587 segundos
84810,0.000626 segundos
84910,0.000575 segundos
85010,0.000593 segundos
85110,0.000576 segundos
85210,0.000596 segundos
85310,0.000592 segundos
85410,0.000583 segundos
85510,0.000593 segundos
85610,0.00067 segundos
85710,0.000629 segundos
85810,0.00061 segundos
85910,0.000551 segundos
86010,0.000543 segundos
86110,0.000656 segundos
86210,0.000646 segundos
86310,0.000638 segundos
86410,0.00069 segundos
86510,0.000593 segundos
86610,0.000549 segundos
86710,0.000651 segundos
86810,0.000565 segundos
86910,0.000564 segundos
87010,0.000567 segundos
87110,0.000603 segundos
87210,0.000551 segundos
87310,0.000554 segundos
87410,0.000601 segundos
87510,0.000593 segundos
87610,0.00057 segundos
87710,0.000565 segundos
87810,0.000549 segundos
87910,0.000549 segundos
88010,0.000581 segundos
88110,0.000564 segundos
88210,0.00055 segundos
88310,0.000617 segundos
88410,0.000555 segundos
88510,0.000554 segundos
88610,0.000555 segundos
88710,0.000576 segundos
88810,0.000558 segundos
88910,0.000569 segundos
89010,0.000594 segundos
89110,0.000672 segundos
89210,0.000585 segundos
89310,0.000631 segundos
89410,0.000704 segundos
89510,0.000576 segundos
89610,0.00066 segundos
89710,0.000623 segundos
89810,0.000677 segundos
89910,0.000595 segundos
90010,0.000608 segundos
90110,0.000603 segundos
90210,0.000584 segundos
