n,tempo_de_execucao
74510,0.002938 segundos
74610,0.001966 segundos
74710,0.002379 segundos
74810,0.002798 segundos
74910,0.002259 segundos
75010,0.001906 segundos
75110,0.001877 segundos
75210,0.003416 segundos
75310,0.002081 segundos
75410,0.002006 segundos
75510,0.003084 segundos
75610,0.002355 segundos
75710,0.00252 segundos
75810,0.00229 segundos
75910,0.003234 segundos
76010,0.002004 segundos
76110,0.001825 segundos
76210,0.004126 segundos
76310,0.002015 segundos
76410,0.00182 segundos
76510,0.002131 segundos
76610,0.003544 segundos
76710,0.002269 segundos
76810,0.001913 segundos
76910,0.002695 segundos
77010,0.001899 segundos
77110,0.001894 segundos
77210,0.002892 segundos
77310,0.002694 segundos
77410,0.001939 segundos
77510,0.001896 segundos
77610,0.002883 segundos
77710,0.002294 segundos
77810,0.002196 segundos
77910,0.00187 segundos
78010,0.002716 segundos
78110,0.001978 segundos
78210,0.001917 segundos
78310,0.003436 segundos
78410,0.002286 segundos
78510,0.002038 segundos
78610,0.002065 segundos
78710,0.003944 segundos
78810,0.001984 segundos
78910,0.001958 segundos
79010,0.003213 segundos
79110,0.002646 segundos
79210,0.0023 segundos
79310,0.002986 segundos
79410,0.002213 segundos
79510,0.002242 segundos
79610,0.001933 segundos
79710,0.002754 segundos
79810,0.002218 segundos
79910,0.002271 segundos
80010,0.00225 segundos
80110,0.002365 segundos
80210,0.00211 segundos
80310,0.00207 segundos
80410,0.003546 segundos
80510,0.002238 segundos
80610,0.001978 segundos
80710,0.003227 segundos
80810,0.002423 segundos
80910,0.002041 segundos
81010,0.001973 segundos
81110,0.002487 segundos
81210,0.002096 segundos
81310,0.001951 segundos
81410,0.002658 segundos
81510,0.002877 segundos
81610,0.002152 segundos
81710,0.001955 segundos
81810,0.002383 segundos
81910,0.003357 segundos
82010,0.002284 segundos
82110,0.002107 segundos
82210,0.003666 segundos
82310,0.002064 segundos
82410,0.001988 segundos
82510,0.003092 segundos
82610,0.002562 segundos
82710,0.002444 segundos
82810,0.002973 segundos
82910,0.003587 segundos
83010,0.002339 segundos
83110,0.001962 segundos
83210,0.003754 segundos
83310,0.002112 segundos
83410,0.002095 segundos
83510,0.003205 segundos
83610,0.00217 segundos
83710,0.00233 segundos
83810,0.003966 segundos
83910,0.002398 segundos
84010,0.002303 segundos
84110,0.00302 segundos
84210,0.003196 segundos
84310,0.00254 segundos
84410,0.003723 segundos
84510,0.002835 segundos
84610,0.002929 segundos
84710,0.004491 segundos
84810,0.002517 segundos
84910,0.004041 segundos
85010,0.002963 segundos
85110,0.00213 segundos
85210,0.003784 segundos
85310,0.002356 segundos
85410,0.002137 segundos
85510,0.002859 segundos
85610,0.002184 segundos
85710,0.002284 segundos
85810,0.003242 segundos
85910,0.00256 segundos
86010,0.002185 segundos
86110,0.002932 segundos
86210,0.003332 segundos
86310,0.0022 segundos
86410,0.002142 segundos
86510,0.003695 segundos
86610,0.002175 segundos
86710,0.002207 segundos
86810,0.002886 segundos
86910,0.002308 segundos
87010,0.002138 segundos
87110,0.003702 segundos
87210,0.002513 segundos
87310,0.002639 segundos
87410,0.003488 segundos
87510,0.002344 segundos
87610,0.002341 segundos
87710,0.002994 segundos
87810,0.003681 segundos
87910,0.002492 segundos
88010,0.002897 segundos
88110,0.003522 segundos
88210,0.002226 segundos
88310,0.002163 segundos
88410,0.003742 segundos
88510,0.002321 segundos
88610,0.002167 segundos
88710,0.003328 segundos
88810,0.002865 segundos
88910,0.002675 segundos
89010,0.004355 segundos
89110,0.002345 segundos
89210,0.002161 segundos
89310,0.004062 segundos
89410,0.00261 segundos
89510,0.0022 segundos
89610,0.004445 segundos
89710,0.002339 segundos
89810,0.00241 segundos
89910,0.002602 segundos
90010,0.002308 segundos
90110,0.002198 segundos
90210,0.002818 segundos
90310,0.003578 segundos
90410,0.002692 segundos
90510,0.002578 segundos
90610,0.003963 segundos
90710,0.002533 segundos
90810,0.002664 segundos
90910,0.003879 segundos
91010,0.002582 segundos
91110,0.002303 segundos
91210,0.00494 segundos
91310,0.002531 segundos
91410,0.002427 segundos
91510,0.004236 segundos
91610,0.002476 segundos
91710,0.002821 segundos
91810,0.003992 segundos
91910,0.002641 segundos
92010,0.003024 segundos
92110,0.003823 segundos
92210,0.002242 segundos
92310,0.002291 segundos
92410,0.003178 segundos
92510,0.002387 segundos
92610,0.002332 segundos
92710,0.005733 segundos
92810,0.002621 segundos
92910,0.005209 segundos
93010,0.002787 segundos
93110,0.003028 segundos
93210,0.003985 segundos
93310,0.002529 segundos
93410,0.002232 segundos
93510,0.004153 segundos
93610,0.002596 segundos
93710,0.00227 segundos
93810,0.004194 segundos
93910,0.00268 segundos
94010,0.00237 segundos
94110,0.004068 segundos
94210,0.00252 segundos
94310,0.00237 segundos
94410,0.003492 segundos
94510,0.002342 segundos
94610,0.002344 segundos
94710,0.002773 segundos
94810,0.002455 segundos
94910,0.002385 segundos
95010,0.003417 segundos
95110,0.002451 segundos
95210,0.002392 segundos
95310,0.004912 segundos
95410,0.002764 segundos
95510,0.002329 segundos
95610,0.004272 segundos
95710,0.002472 segundos
95810,0.002368 segundos
95910,0.004116 segundos
96010,0.002436 segundos
96110,0.00236 segundos
96210,0.00272 segundos
96310,0.002776 segundos
96410,0.002417 segundos
96510,0.004013 segundos
96610,0.002851 segundos
96710,0.002522 segundos
96810,0.004612 segundos
96910,0.002638 segundos
97010,0.00273 segundos
97110,0.004563 segundos
97210,0.002437 segundos
97310,0.002379 segundos
97410,0.004015 segundos
97510,0.002811 segundos
97610,0.002437 segundos
97710,0.004344 segundos
97810,0.002728 segundos
97910,0.002751 segundos
98010,0.003974 segundos
98110,0.002452 segundos
98210,0.00251 segundos
98310,0.004692 segundos
98410,0.002563 segundos
98510,0.002648 segundos
98610,0.003937 segundos
98710,0.003225 segundos
